pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,p90_uer_threshold,p90_uer18_threshold
413507,2025,Maharashtra,Osmanabad,272,56,1,329,196,8904,9100,27.659574468085108,27.06382978723404,19.0,17.304525288376222
413508,2025,Maharashtra,Osmanabad,72,12,0,84,44,1639,1683,20.035714285714285,19.511904761904763,19.0,17.304525288376222
413509,2025,Maharashtra,Osmanabad,126,18,0,144,132,3786,3918,27.208333333333332,26.291666666666668,19.0,17.304525288376222
413511,2025,Maharashtra,Latur,173,50,3,226,197,5933,6130,27.123893805309734,26.25221238938053,19.0,17.304525288376222
413512,2025,Maharashtra,Latur,728,198,9,935,1912,20780,22692,24.26951871657754,22.22459893048128,19.0,17.304525288376222
413513,2025,Maharashtra,Latur,130,27,4,161,176,3845,4021,24.975155279503106,23.88198757763975,19.0,17.304525288376222
413514,2025,Maharashtra,Latur,154,55,3,212,180,5846,6026,28.42452830188679,27.57547169811321,19.0,17.304525288376222
413515,2025,Maharashtra,Latur,307,76,4,387,234,7235,7469,19.299741602067183,18.695090439276484,19.0,17.304525288376222
413516,2025,Maharashtra,Latur,132,26,0,158,148,4322,4470,28.29113924050633,27.354430379746834,19.0,17.304525288376222
413518,2025,Maharashtra,Latur,115,24,6,145,99,2705,2804,19.337931034482757,18.655172413793103,19.0,17.304525288376222
413519,2025,Maharashtra,Latur,164,39,17,220,242,5213,5455,24.795454545454547,23.695454545454545,19.0,17.304525288376222
413521,2025,Maharashtra,Latur,271,57,1,329,189,7085,7274,22.109422492401215,21.534954407294833,19.0,17.304525288376222
413523,2025,Maharashtra,Latur,94,12,4,110,117,4178,4295,39.04545454545455,37.981818181818184,19.0,17.304525288376222
413524,2025,Maharashtra,Latur,102,24,1,127,84,2488,2572,20.251968503937007,19.590551181102363,19.0,17.304525288376222
413525,2025,Maharashtra,Osmanabad,72,32,0,104,65,3644,3709,35.66346153846154,35.03846153846154,19.0,17.304525288376222
413527,2025,Maharashtra,Latur,159,32,3,194,231,5020,5251,27.067010309278352,25.876288659793815,19.0,17.304525288376222
413529,2025,Maharashtra,Latur,77,16,0,93,87,2227,2314,24.881720430107528,23.946236559139784,19.0,17.304525288376222
413531,2025,Maharashtra,Latur,337,86,2,425,322,8137,8459,19.903529411764705,19.145882352941175,19.0,17.304525288376222
413534,2025,Maharashtra,Osmanabad,35,12,0,47,45,1062,1107,23.5531914893617,22.595744680851062,19.0,17.304525288376222
413544,2025,Maharashtra,Latur,138,15,0,153,109,3219,3328,21.751633986928105,21.03921568627451,19.0,17.304525288376222
413601,2025,Maharashtra,Osmanabad,257,38,4,299,170,6016,6186,20.68896321070234,20.120401337792643,19.0,17.304525288376222
413602,2025,Maharashtra,Osmanabad,131,17,1,149,90,3477,3567,23.93959731543624,23.335570469798657,19.0,17.304525288376222
413603,2025,Maharashtra,Osmanabad,108,10,0,118,63,3594,3657,30.991525423728813,30.45762711864407,19.0,17.304525288376222
413604,2025,Maharashtra,Osmanabad,139,34,2,175,212,6955,7167,40.95428571428572,39.74285714285714,19.0,17.304525288376222
413605,2025,Maharashtra,Osmanabad,116,33,5,154,113,5105,5218,33.883116883116884,33.14935064935065,19.0,17.304525288376222
413606,2025,Maharashtra,Osmanabad,561,187,11,759,619,14210,14829,19.537549407114625,18.722002635046113,19.0,17.304525288376222
413608,2025,Maharashtra,Osmanabad,117,23,0,140,136,5805,5941,42.43571428571428,41.464285714285715,19.0,17.304525288376222
413623,2025,Maharashtra,Osmanabad,97,5,1,103,70,2018,2088,20.271844660194176,19.59223300970874,19.0,17.304525288376222
413624,2025,Maharashtra,Osmanabad,36,7,0,43,29,811,840,19.53488372093023,18.86046511627907,19.0,17.304525288376222
413702,2025,Maharashtra,Ahmadnagar,157,9,2,168,75,3132,3207,19.089285714285715,18.642857142857142,19.0,17.304525288376222
413704,2025,Maharashtra,Ahmadnagar,83,24,0,107,67,2095,2162,20.205607476635514,19.57943925233645,19.0,17.304525288376222
413706,2025,Maharashtra,Ahmadnagar,96,63,0,159,125,4551,4676,29.40880503144654,28.62264150943396,19.0,17.304525288376222
413707,2025,Maharashtra,Ahmadnagar,66,8,0,74,53,1436,1489,20.12162162162162,19.405405405405407,19.0,17.304525288376222
413708,2025,Maharashtra,Ahmadnagar,43,15,0,58,49,1407,1456,25.103448275862068,24.25862068965517,19.0,17.304525288376222
413709,2025,Maharashtra,Ahmadnagar,148,48,0,196,229,4226,4455,22.729591836734695,21.56122448979592,19.0,17.304525288376222
413718,2025,Maharashtra,Ahmadnagar,33,12,0,45,39,1689,1728,38.4,37.53333333333333,19.0,17.304525288376222
413721,2025,Maharashtra,Ahmadnagar,39,10,1,50,30,2321,2351,47.02,46.42,19.0,17.304525288376222
413722,2025,Maharashtra,Ahmadnagar,26,8,0,34,13,759,772,22.705882352941178,22.323529411764707,19.0,17.304525288376222
413723,2025,Maharashtra,Ahmed Nagar,49,3,0,52,50,1051,1101,21.173076923076923,20.21153846153846,19.0,17.304525288376222
413725,2025,Maharashtra,Ahmadnagar,113,20,0,133,134,3716,3850,28.94736842105263,27.93984962406015,19.0,17.304525288376222
413738,2025,Maharashtra,Ahmadnagar,53,12,2,67,40,1480,1520,22.686567164179106,22.08955223880597,19.0,17.304525288376222
413739,2025,Maharashtra,Ahmadnagar,92,29,0,121,107,2699,2806,23.1900826446281,22.305785123966942,19.0,17.304525288376222
414002,2025,Maharashtra,Ahmadnagar,106,30,3,139,71,2590,2661,19.14388489208633,18.633093525179856,19.0,17.304525288376222
414006,2025,Maharashtra,Ahmadnagar,40,13,0,53,46,1601,1647,31.07547169811321,30.20754716981132,19.0,17.304525288376222
414101,2025,Maharashtra,Ahmadnagar,63,7,1,71,28,2653,2681,37.76056338028169,37.36619718309859,19.0,17.304525288376222
414102,2025,Maharashtra,Ahmadnagar,217,64,2,283,310,6272,6582,23.257950530035334,22.16254416961131,19.0,17.304525288376222
414113,2025,Maharashtra,Ahmadnagar,70,20,0,90,57,2033,2090,23.22222222222222,22.58888888888889,19.0,17.304525288376222
414202,2025,Maharashtra,Beed,160,33,3,196,337,9501,9838,50.19387755102041,48.474489795918366,19.0,17.304525288376222
414203,2025,Maharashtra,Beed,315,90,15,420,296,10884,11180,26.61904761904762,25.914285714285715,19.0,17.304525288376222
414204,2025,Maharashtra,Beed,154,21,1,176,231,5687,5918,33.625,32.3125,19.0,17.304525288376222
414205,2025,Maharashtra,Beed,116,26,1,143,221,4180,4401,30.776223776223777,29.23076923076923,19.0,17.304525288376222
414208,2025,Maharashtra,Beed,51,11,2,64,67,2409,2476,38.6875,37.640625,19.0,17.304525288376222
414302,2025,Maharashtra,Ahmadnagar,80,15,1,96,155,2964,3119,32.489583333333336,30.875,19.0,17.304525288376222
414307,2025,Maharashtra,Ahmadnagar,24,7,0,31,32,701,733,23.64516129032258,22.612903225806452,19.0,17.304525288376222
414401,2025,Maharashtra,Ahmadnagar,134,37,3,174,120,6615,6735,38.706896551724135,38.01724137931034,19.0,17.304525288376222
414402,2025,Maharashtra,Ahmadnagar,126,61,8,195,126,4912,5038,25.835897435897436,25.18974358974359,19.0,17.304525288376222
414403,2025,Maharashtra,Ahmadnagar,98,51,1,150,197,7197,7394,49.29333333333334,47.98,19.0,17.304525288376222
414502,2025,Maharashtra,Ahmadnagar,317,56,0,373,356,9744,10100,27.07774798927614,26.12332439678284,19.0,17.304525288376222
414503,2025,Maharashtra,Ahmadnagar,94,16,0,110,125,3955,4080,37.09090909090909,35.95454545454545,19.0,17.304525288376222
414505,2025,Maharashtra,Ahmadnagar,49,13,0,62,124,1485,1609,25.951612903225808,23.951612903225808,19.0,17.304525288376222
414602,2025,Maharashtra,Ahmadnagar,54,14,0,68,125,1572,1697,24.955882352941178,23.11764705882353,19.0,17.304525288376222
414604,2025,Maharashtra,Ahmadnagar,102,24,0,126,203,4606,4809,38.166666666666664,36.55555555555556,19.0,17.304525288376222
414606,2025,Maharashtra,Ahmadnagar,37,12,0,49,40,1179,1219,24.877551020408163,24.06122448979592,19.0,17.304525288376222
414607,2025,Maharashtra,Ahmadnagar,57,14,0,71,64,1347,1411,19.87323943661972,18.971830985915492,19.0,17.304525288376222
414609,2025,Maharashtra,Ahmadnagar,35,3,0,38,104,934,1038,27.31578947368421,24.57894736842105,19.0,17.304525288376222
415003,2025,Maharashtra,Satara,28,4,0,32,56,784,840,26.25,24.5,19.0,17.304525288376222
415004,2025,Maharashtra,Satara,75,6,2,83,75,1508,1583,19.072289156626507,18.16867469879518,19.0,17.304525288376222
415010,2025,Maharashtra,Satara,33,5,0,38,24,1032,1056,27.789473684210527,27.157894736842106,19.0,17.304525288376222
415014,2025,Maharashtra,Satara,75,4,0,79,84,1895,1979,25.050632911392405,23.9873417721519,19.0,17.304525288376222
415101,2025,Maharashtra,Kolhapur,91,19,1,111,78,4369,4447,40.06306306306306,39.36036036036036,19.0,17.304525288376222
415103,2025,Maharashtra,Satara,52,5,2,59,33,1106,1139,19.305084745762713,18.74576271186441,19.0,17.304525288376222
415105,2025,Maharashtra,Satara,31,4,2,37,32,1056,1088,29.405405405405407,28.54054054054054,19.0,17.304525288376222
415106,2025,Maharashtra,Satara,49,5,0,54,28,1498,1526,28.25925925925926,27.74074074074074,19.0,17.304525288376222
415109,2025,Maharashtra,Satara,76,2,0,78,65,2216,2281,29.243589743589745,28.41025641025641,19.0,17.304525288376222
415111,2025,Maharashtra,Satara,67,5,4,76,40,1561,1601,21.06578947368421,20.539473684210527,19.0,17.304525288376222
415124,2025,Maharashtra,Satara,84,11,0,95,137,2440,2577,27.126315789473683,25.68421052631579,19.0,17.304525288376222
415206,2025,Maharashtra,Satara,138,22,1,161,139,3375,3514,21.82608695652174,20.96273291925466,19.0,17.304525288376222
415301,2025,Maharashtra,Sangli,82,21,3,106,109,2477,2586,24.39622641509434,23.367924528301888,19.0,17.304525288376222
415312,2025,Maharashtra,Satara,26,4,0,30,18,752,770,25.666666666666668,25.066666666666666,19.0,17.304525288376222
415315,2025,Maharashtra,Sangli,49,7,0,56,38,1370,1408,25.142857142857142,24.464285714285715,19.0,17.304525288376222
415501,2025,Maharashtra,Satara,92,7,2,101,147,3956,4103,40.62376237623762,39.16831683168317,19.0,17.304525288376222
415502,2025,Maharashtra,Satara,33,3,0,36,60,945,1005,27.916666666666668,26.25,19.0,17.304525288376222
415509,2025,Maharashtra,Satara,209,27,7,243,141,4727,4868,20.032921810699587,19.45267489711934,19.0,17.304525288376222
415511,2025,Maharashtra,Satara,35,2,0,37,66,1661,1727,46.67567567567568,44.891891891891895,19.0,17.304525288376222
415521,2025,Maharashtra,Satara,126,6,2,134,187,4083,4270,31.865671641791046,30.470149253731343,19.0,17.304525288376222
415525,2025,Maharashtra,Satara,41,0,1,42,38,1176,1214,28.904761904761905,28.0,19.0,17.304525288376222
415528,2025,Maharashtra,Satara,48,2,0,50,52,1472,1524,30.48,29.44,19.0,17.304525288376222
415538,2025,Maharashtra,Satara,42,4,0,46,42,955,997,21.67391304347826,20.76086956521739,19.0,17.304525288376222
415540,2025,Maharashtra,Satara,74,17,6,97,71,1868,1939,19.989690721649485,19.257731958762886,19.0,17.304525288376222
415611,2025,Maharashtra,Ratnagiri,38,4,2,44,53,1481,1534,34.86363636363637,33.65909090909091,19.0,17.304525288376222
415620,2025,Maharashtra,Ratnagiri,54,4,2,60,78,1943,2021,33.68333333333333,32.38333333333333,19.0,17.304525288376222
415639,2025,Maharashtra,Ratnagiri,62,2,1,65,73,1472,1545,23.76923076923077,22.646153846153847,19.0,17.304525288376222
415641,2025,Maharashtra,Ratnagiri,32,3,0,35,45,791,836,23.885714285714286,22.6,19.0,17.304525288376222
415712,2025,Maharashtra,Ratnagiri,96,15,0,111,103,2632,2735,24.63963963963964,23.71171171171171,19.0,17.304525288376222
415724,2025,Maharashtra,Ratnagiri,36,2,0,38,63,890,953,25.07894736842105,23.42105263157895,19.0,17.304525288376222
415726,2025,Maharashtra,Ratnagiri,34,1,0,35,27,750,777,22.2,21.428571428571427,19.0,17.304525288376222
415803,2025,Maharashtra,Ratnagiri,39,0,0,39,40,1000,1040,26.666666666666668,25.641025641025642,19.0,17.304525288376222
416001,2025,Maharashtra,Kolhapur,213,26,1,240,294,4527,4821,20.0875,18.8625,19.0,17.304525288376222
416008,2025,Maharashtra,Kolhapur,74,26,5,105,109,2215,2324,22.133333333333333,21.095238095238095,19.0,17.304525288376222
416107,2025,Maharashtra,Kolhapur,29,3,1,33,15,766,781,23.666666666666668,23.21212121212121,19.0,17.304525288376222
416119,2025,Maharashtra,Kolhapur,71,22,4,97,129,2139,2268,23.38144329896907,22.051546391752577,19.0,17.304525288376222
416121,2025,Maharashtra,Kolhapur,71,18,1,90,94,1636,1730,19.22222222222222,18.177777777777777,19.0,17.304525288376222
416205,2025,Maharashtra,Kolhapur,248,24,0,272,215,5423,5638,20.727941176470587,19.9375,19.0,17.304525288376222
416206,2025,Maharashtra,Kolhapur,73,5,0,78,56,1707,1763,22.602564102564102,21.884615384615383,19.0,17.304525288376222
416208,2025,Maharashtra,Kolhapur,86,6,0,92,80,2005,2085,22.66304347826087,21.793478260869566,19.0,17.304525288376222
416209,2025,Maharashtra,Kolhapur,154,13,6,173,176,5114,5290,30.578034682080926,29.560693641618496,19.0,17.304525288376222
416210,2025,Maharashtra,Kolhapur,74,6,0,80,66,2309,2375,29.6875,28.8625,19.0,17.304525288376222
416211,2025,Maharashtra,Kolhapur,140,12,2,154,119,3734,3853,25.01948051948052,24.246753246753247,19.0,17.304525288376222
416212,2025,Maharashtra,Kolhapur,70,6,0,76,58,2136,2194,28.86842105263158,28.105263157894736,19.0,17.304525288376222
416213,2025,Maharashtra,Kolhapur,89,7,5,101,83,2848,2931,29.019801980198018,28.198019801980198,19.0,17.304525288376222
416214,2025,Maharashtra,Kolhapur,51,18,2,71,75,1957,2032,28.619718309859156,27.56338028169014,19.0,17.304525288376222
416215,2025,Maharashtra,Kolhapur,36,4,0,40,23,966,989,24.725,24.15,19.0,17.304525288376222
416218,2025,Maharashtra,Kolhapur,70,5,1,76,56,1574,1630,21.44736842105263,20.710526315789473,19.0,17.304525288376222
416219,2025,Maharashtra,Kolhapur,94,15,0,109,83,2215,2298,21.08256880733945,20.321100917431192,19.0,17.304525288376222
416223,2025,Maharashtra,Kolhapur,33,0,0,33,21,976,997,30.21212121212121,29.575757575757574,19.0,17.304525288376222
416229,2025,Maharashtra,Kolhapur,129,18,1,148,117,2958,3075,20.777027027027028,19.986486486486488,19.0,17.304525288376222
416308,2025,Maharashtra,Sangli,36,3,1,40,39,930,969,24.225,23.25,19.0,17.304525288376222
416310,2025,Maharashtra,Sangli,35,7,0,42,47,963,1010,24.047619047619047,22.928571428571427,19.0,17.304525288376222
416311,2025,Maharashtra,Sangli,47,9,0,56,29,1313,1342,23.964285714285715,23.446428571428573,19.0,17.304525288376222
416312,2025,Maharashtra,Sangli,143,18,0,161,156,4168,4324,26.857142857142858,25.888198757763973,19.0,17.304525288376222
416314,2025,Maharashtra,Sangli,26,6,0,32,25,600,625,19.53125,18.75,19.0,17.304525288376222
416401,2025,Maharashtra,Sangli,43,8,0,51,11,1058,1069,20.96078431372549,20.745098039215687,19.0,17.304525288376222
416402,2025,Maharashtra,Sangli,68,26,0,94,45,2131,2176,23.148936170212767,22.670212765957448,19.0,17.304525288376222
416403,2025,Maharashtra,Sangli,96,33,2,131,53,2786,2839,21.671755725190838,21.267175572519083,19.0,17.304525288376222
416405,2025,Maharashtra,Sangli,109,30,0,139,119,3835,3954,28.446043165467625,27.58992805755396,19.0,17.304525288376222
416407,2025,Maharashtra,Sangli,35,7,0,42,34,772,806,19.19047619047619,18.38095238095238,19.0,17.304525288376222
416408,2025,Maharashtra,Sangli,33,8,1,42,23,1235,1258,29.952380952380953,29.404761904761905,19.0,17.304525288376222
416411,2025,Maharashtra,Sangli,32,5,0,37,34,784,818,22.10810810810811,21.18918918918919,19.0,17.304525288376222
416415,2025,Maharashtra,Sangli,24,7,0,31,33,625,658,21.225806451612904,20.161290322580644,19.0,17.304525288376222
416504,2025,Maharashtra,Kolhapur,57,0,0,57,28,1111,1139,19.982456140350877,19.49122807017544,19.0,17.304525288376222
416506,2025,Maharashtra,Kolhapur,49,3,0,52,53,1839,1892,36.38461538461539,35.36538461538461,19.0,17.304525288376222
416511,2025,Maharashtra,Sindhudurg,34,1,1,36,46,1094,1140,31.666666666666668,30.38888888888889,19.0,17.304525288376222
416512,2025,Maharashtra,Sindhudurg,38,0,0,38,20,742,762,20.05263157894737,19.526315789473685,19.0,17.304525288376222
416516,2025,Maharashtra,Sindhudurg,31,1,0,32,31,741,772,24.125,23.15625,19.0,17.304525288376222
416520,2025,Maharashtra,Sindhudurg,94,5,4,103,97,1988,2085,20.24271844660194,19.300970873786408,19.0,17.304525288376222
416551,2025,Maharashtra,Kolhapur,33,1,0,34,17,902,919,27.029411764705884,26.529411764705884,19.0,17.304525288376222
416601,2025,Maharashtra,Sindhudurg,30,1,0,31,35,1518,1553,50.096774193548384,48.96774193548387,19.0,17.304525288376222
416602,2025,Maharashtra,Sindhudurg,77,5,0,82,119,2414,2533,30.890243902439025,29.4390243902439,19.0,17.304525288376222
416702,2025,Maharashtra,Ratnagiri,113,8,0,121,250,5137,5387,44.52066115702479,42.45454545454545,19.0,17.304525288376222
416704,2025,Maharashtra,Ratnagiri,30,2,0,32,27,1600,1627,50.84375,50.0,19.0,17.304525288376222
416810,2025,Maharashtra,Sindhudurg,55,7,0,62,69,1615,1684,27.161290322580644,26.048387096774192,19.0,17.304525288376222
421103,2025,Maharashtra,Thane,35,6,1,42,76,931,1007,23.976190476190474,22.166666666666668,19.0,17.304525288376222
421401,2025,Maharashtra,Thane,270,73,5,348,328,12131,12459,35.80172413793103,34.85919540229885,19.0,17.304525288376222
421402,2025,Maharashtra,Thane,93,33,2,128,60,3648,3708,28.96875,28.5,19.0,17.304525288376222
421601,2025,Maharashtra,Thane,436,89,3,528,373,9892,10265,19.44128787878788,18.734848484848484,19.0,17.304525288376222
422202,2025,Maharashtra,Nashik,139,14,0,153,157,3993,4150,27.124183006535947,26.098039215686274,19.0,17.304525288376222
422204,2025,Maharashtra,Nashik,197,26,2,225,125,6085,6210,27.6,27.044444444444444,19.0,17.304525288376222
422205,2025,Maharashtra,Nashik,45,7,0,52,40,1566,1606,30.884615384615383,30.115384615384617,19.0,17.304525288376222
422206,2025,Maharashtra,Nashik,54,6,2,62,83,1350,1433,23.112903225806452,21.774193548387096,19.0,17.304525288376222
422211,2025,Maharashtra,Nashik,300,73,0,373,248,8807,9055,24.276139410187668,23.611260053619304,19.0,17.304525288376222
422215,2025,Maharashtra,Nashik,67,6,0,73,83,2601,2684,36.76712328767123,35.63013698630137,19.0,17.304525288376222
422602,2025,Maharashtra,Ahmadnagar,33,7,2,42,10,1263,1273,30.30952380952381,30.071428571428573,19.0,17.304525288376222
423102,2025,Maharashtra,Nashik,152,31,1,184,258,4810,5068,27.543478260869566,26.141304347826086,19.0,17.304525288376222
423117,2025,Maharashtra,Nashik,49,13,0,62,25,1581,1606,25.903225806451612,25.5,19.0,17.304525288376222
423206,2025,Maharashtra,Nashik,107,45,1,153,85,3528,3613,23.61437908496732,23.058823529411764,19.0,17.304525288376222
423208,2025,Maharashtra,Nashik,103,46,1,150,103,2765,2868,19.12,18.433333333333334,19.0,17.304525288376222
423402,2025,Maharashtra,Nashik,55,16,0,71,58,1980,2038,28.704225352112676,27.887323943661972,19.0,17.304525288376222
423403,2025,Maharashtra,Nashik,79,29,0,108,54,2091,2145,19.86111111111111,19.36111111111111,19.0,17.304525288376222
423601,2025,Maharashtra,Ahmadnagar,242,84,4,330,213,6901,7114,21.55757575757576,20.912121212121214,19.0,17.304525288376222
423602,2025,Maharashtra,Ahmadnagar,49,22,0,71,43,2451,2494,35.12676056338028,34.521126760563384,19.0,17.304525288376222
423603,2025,Maharashtra,Ahmadnagar,90,27,0,117,88,2721,2809,24.00854700854701,23.256410256410255,19.0,17.304525288376222
423604,2025,Maharashtra,Ahmadnagar,25,18,0,43,16,829,845,19.651162790697676,19.27906976744186,19.0,17.304525288376222
423605,2025,Maharashtra,Ahmadnagar,44,10,0,54,53,1363,1416,26.22222222222222,25.24074074074074,19.0,17.304525288376222
423701,2025,Maharashtra,Aurangabad,287,136,1,424,282,10298,10580,24.952830188679247,24.287735849056602,19.0,17.304525288376222
424102,2025,Maharashtra,Jalgaon,45,17,0,62,40,1321,1361,21.951612903225808,21.306451612903224,19.0,17.304525288376222
424104,2025,Maharashtra,Jalgaon,67,34,0,101,59,1920,1979,19.594059405940595,19.00990099009901,19.0,17.304525288376222
424106,2025,Maharashtra,Jalgaon,150,64,0,214,163,3943,4106,19.186915887850468,18.425233644859812,19.0,17.304525288376222
424116,2025,Maharashtra,Jalgaon,60,28,0,88,65,1649,1714,19.477272727272727,18.738636363636363,19.0,17.304525288376222
424204,2025,Maharashtra,Jalgaon,69,13,1,83,112,2473,2585,31.14457831325301,29.795180722891565,19.0,17.304525288376222
424205,2025,Maharashtra,Jalgaon,100,7,0,107,86,2458,2544,23.77570093457944,22.97196261682243,19.0,17.304525288376222
424206,2025,Maharashtra,Jalgaon,286,44,2,332,164,11292,11456,34.506024096385545,34.01204819277108,19.0,17.304525288376222
424207,2025,Maharashtra,Jalgaon,76,6,1,83,25,1696,1721,20.734939759036145,20.433734939759034,19.0,17.304525288376222
424209,2025,Maharashtra,Jalgaon,79,13,0,92,53,1977,2030,22.065217391304348,21.48913043478261,19.0,17.304525288376222
425108,2025,Maharashtra,Jalgaon,34,18,0,52,33,1495,1528,29.384615384615383,28.75,19.0,17.304525288376222
425127,2025,Maharashtra,Jalgaon,85,8,5,98,35,2225,2260,23.06122448979592,22.70408163265306,19.0,17.304525288376222
425302,2025,Maharashtra,Jalgaon,116,24,1,141,98,3202,3300,23.404255319148938,22.70921985815603,19.0,17.304525288376222
425305,2025,Maharashtra,Jalgaon,96,7,1,104,140,1963,2103,20.221153846153847,18.875,19.0,17.304525288376222
425310,2025,Maharashtra,Jalgaon,178,11,0,189,137,6128,6265,33.148148148148145,32.423280423280424,19.0,17.304525288376222
431105,2025,Maharashtra,Aurangabad,221,96,26,343,193,6563,6756,19.696793002915452,19.134110787172013,19.0,17.304525288376222
431125,2025,Maharashtra,Beed,61,11,4,76,102,2815,2917,38.38157894736842,37.03947368421053,19.0,17.304525288376222
431126,2025,Maharashtra,Beed,118,45,2,165,200,5681,5881,35.64242424242424,34.43030303030303,19.0,17.304525288376222
431129,2025,Maharashtra,Beed,159,53,4,216,275,5974,6249,28.930555555555557,27.65740740740741,19.0,17.304525288376222
431130,2025,Maharashtra,Beed,179,36,5,220,249,5845,6094,27.7,26.568181818181817,19.0,17.304525288376222
431131,2025,Maharashtra,Beed,428,140,7,575,678,14617,15295,26.6,25.42086956521739,19.0,17.304525288376222
431143,2025,Maharashtra,Beed,123,38,3,164,199,4214,4413,26.908536585365855,25.695121951219512,19.0,17.304525288376222
431150,2025,Maharashtra,Aurangabad,138,47,0,185,72,4042,4114,22.237837837837837,21.84864864864865,19.0,17.304525288376222
431205,2025,Maharashtra,Jalna,57,20,0,77,83,1388,1471,19.103896103896105,18.025974025974026,19.0,17.304525288376222
431208,2025,Maharashtra,Jalna,159,20,0,179,115,4024,4139,23.122905027932962,22.480446927374302,19.0,17.304525288376222
431209,2025,Maharashtra,Jalna,121,21,1,143,123,2832,2955,20.664335664335663,19.804195804195803,19.0,17.304525288376222
431212,2025,Maharashtra,Jalna,95,15,0,110,191,2666,2857,25.972727272727273,24.236363636363638,19.0,17.304525288376222
431501,2025,Maharashtra,Jalna,231,63,0,294,248,7821,8069,27.44557823129252,26.602040816326532,19.0,17.304525288376222
431502,2025,Maharashtra,Jalna,44,9,1,54,72,1167,1239,22.944444444444443,21.61111111111111,19.0,17.304525288376222
431503,2025,Maharashtra,Parbhani,243,56,8,307,344,11055,11399,37.13029315960912,36.009771986970684,19.0,17.304525288376222
431504,2025,Maharashtra,Jalna,239,49,0,288,223,6966,7189,24.961805555555557,24.1875,19.0,17.304525288376222
431505,2025,Maharashtra,Parbhani,206,57,1,264,283,8227,8510,32.234848484848484,31.16287878787879,19.0,17.304525288376222
431507,2025,Maharashtra,Jalna,62,9,0,71,76,4165,4241,59.732394366197184,58.66197183098591,19.0,17.304525288376222
431508,2025,Maharashtra,Parbhani,136,12,19,167,160,5021,5181,31.023952095808383,30.065868263473053,19.0,17.304525288376222
431509,2025,Maharashtra,Hingoli,523,117,31,671,609,17938,18547,27.640834575260804,26.73323397913562,19.0,17.304525288376222
431511,2025,Maharashtra,Parbhani,269,32,1,302,392,8644,9036,29.920529801324502,28.62251655629139,19.0,17.304525288376222
431516,2025,Maharashtra,Parbhani,142,40,1,183,162,4069,4231,23.120218579234972,22.23497267759563,19.0,17.304525288376222
431519,2025,Maharashtra,Beed,88,17,0,105,86,2172,2258,21.504761904761907,20.685714285714287,19.0,17.304525288376222
431522,2025,Maharashtra,Latur,63,24,3,90,76,2723,2799,31.1,30.255555555555556,19.0,17.304525288376222
431536,2025,Maharashtra,Parbhani,141,17,0,158,153,5157,5310,33.607594936708864,32.639240506329116,19.0,17.304525288376222
431540,2025,Maharashtra,Parbhani,130,15,1,146,130,4267,4397,30.116438356164384,29.226027397260275,19.0,17.304525288376222
431541,2025,Maharashtra,Parbhani,162,16,3,181,127,4195,4322,23.87845303867403,23.176795580110497,19.0,17.304525288376222
431542,2025,Maharashtra,Hingoli,237,76,8,321,138,7599,7737,24.102803738317757,23.672897196261683,19.0,17.304525288376222
431602,2025,Maharashtra,Nanded,247,59,13,319,205,6007,6212,19.473354231974923,18.830721003134798,19.0,17.304525288376222
431606,2025,Maharashtra,Nanded,34,6,0,40,22,956,978,24.45,23.9,19.0,17.304525288376222
431646,2025,Maharashtra,Nanded,65,14,1,80,43,1828,1871,23.3875,22.85,19.0,17.304525288376222
431703,2025,Maharashtra,Hingoli,145,26,2,173,122,6139,6261,36.190751445086704,35.48554913294798,19.0,17.304525288376222
431707,2025,Maharashtra,Nanded,97,22,3,122,73,2919,2992,24.524590163934427,23.92622950819672,19.0,17.304525288376222
431709,2025,Maharashtra,Nanded,257,69,0,326,298,14792,15090,46.28834355828221,45.374233128834355,19.0,17.304525288376222
431710,2025,Maharashtra,Nanded,153,30,5,188,149,5555,5704,30.340425531914892,29.54787234042553,19.0,17.304525288376222
431711,2025,Maharashtra,Nanded,52,11,1,64,29,1729,1758,27.46875,27.015625,19.0,17.304525288376222
431712,2025,Maharashtra,Nanded,829,160,52,1041,470,21858,22328,21.44860710854947,20.997118155619596,19.0,17.304525288376222
431716,2025,Maharashtra,Nanded,42,5,0,47,31,978,1009,21.46808510638298,20.80851063829787,19.0,17.304525288376222
431717,2025,Maharashtra,Nanded,181,54,7,242,255,6498,6753,27.90495867768595,26.85123966942149,19.0,17.304525288376222
431718,2025,Maharashtra,Nanded,60,9,4,73,60,1993,2053,28.123287671232877,27.301369863013697,19.0,17.304525288376222
431720,2025,Maharashtra,Parbhani,177,11,0,188,237,6779,7016,37.319148936170215,36.058510638297875,19.0,17.304525288376222
431721,2025,Maharashtra,Nanded,181,42,0,223,140,11297,11437,51.28699551569507,50.65919282511211,19.0,17.304525288376222
431722,2025,Maharashtra,Nanded,32,7,0,39,43,1950,1993,51.1025641025641,50.0,19.0,17.304525288376222
431723,2025,Maharashtra,Nanded,85,16,6,107,96,2746,2842,26.560747663551403,25.66355140186916,19.0,17.304525288376222
431741,2025,Maharashtra,Nanded,60,23,3,86,102,2724,2826,32.86046511627907,31.674418604651162,19.0,17.304525288376222
